employee_id,user_id,name,gender,blood_group,marital_status,national_id,tin_number,phone_number,personal_email,work_email,present_address,permanent_address,university,degree,cgpa,dept_id,job_id,job_title,job_level,work_mode,joining_date,status,exit_date,exit_reason,current_salary,manager_id,dob
11,User_11,Monira Chowdhury,Female,B+,Married,19903041165019,566238902234,8801490278686,monira.chowdhury13@gmail.com,monira.chowdhury11@banglabazaar.com,"House 79, Road 5, Baridhara, Dhaka","Village: Chowdhurypur, District: Bogra",Rajshahi University,BBA,3.68,6,601,Support Staff,1,On-Site,2023-07-08,Active,,,16832,,1999-12-30
12,User_12,Ayesha Das,Female,B+,Single,19895991182747,201109089051,8801575261587,ayesha.das95@gmail.com,ayesha.das12@banglabazaar.com,"House 15, Road 25, Rampura, Dhaka","Village: Daspur, District: Jessore",IUB,BBA,3.33,1,101,IT Support Specialist,1,Hybrid,2019-05-05,Resigned,2021-04-04,Better Salary,32934,,1996-11-26
13,User_13,Taijul Khan,Male,B+,Single,19943443588379,867676671192,8801714330297,taijul.khan50@gmail.com,taijul.khan13@banglabazaar.com,"House 75, Road 18, Banani, Dhaka","Village: Khanpur, District: Dhaka",BUET,B.Com,2.53,3,301,Production Assistant,1,On-Site,2017-11-18,Active,,,15979,,1994-10-29
14,User_14,Tamim Rahman,Male,O-,Married,19812154762463,173129088975,8801458686430,tamim.rahman63@gmail.com,tamim.rahman14@banglabazaar.com,"House 52, Road 19, Gulshan, Dhaka","Village: Rahmanpur, District: Khulna",IUB,BSS in Economics,2.57,4,401,Sales Associate,1,Hybrid,2020-07-14,Resigned,2022-10-25,Better Salary,22051,,1997-11-22
15,User_15,Kamal Roy,Male,A+,Married,19843783836031,761161611580,8801764059357,kamal.roy52@gmail.com,kamal.roy15@banglabazaar.com,"House 51, Road 9, Badda, Dhaka","Village: Roypur, District: Mymensingh",BUET,B.Sc in EEE,3.04,4,401,Sales Associate,1,Hybrid,2021-01-12,Active,,,22551,,1998-11-26
16,User_16,Tamim Roy,Male,B+,Single,19909289812286,708765304619,8801657814837,tamim.roy13@gmail.com,tamim.roy16@banglabazaar.com,"House 110, Road 15, Gulshan, Dhaka","Village: Roypur, District: Rajshahi",AIUB,B.Com,2.6,6,603,Head of Facilities,5,On-Site,2020-10-31,Active,,,146924,220.0,1977-09-04
17,User_17,Taskin Das,Male,B+,Married,19838033418353,769709095660,8801577761307,taskin.das54@gmail.com,taskin.das17@banglabazaar.com,"House 50, Road 26, Malibagh, Dhaka","Village: Daspur, District: Bogra",Rajshahi University,BBA,3.56,4,401,Sales Associate,1,Hybrid,2016-07-23,Active,,,22598,,1992-02-05
18,User_18,Akram Bhuiyan,Male,AB+,Married,19812409120152,309493298654,8801458773618,akram.bhuiyan55@gmail.com,akram.bhuiyan18@banglabazaar.com,"House 38, Road 6, Gulshan, Dhaka","Village: Bhuiyanpur, District: Chittagong",Chittagong University,M.Com,3.63,4,402,Sales Executive,2,Hybrid,2021-05-19,Active,,,46773,762.0,1992-11-13
19,User_19,Karim Howlader,Male,B+,Single,20003642968964,239998056248,8801778080010,karim.howlader20@gmail.com,karim.howlader19@banglabazaar.com,"House 40, Road 11, Malibagh, Dhaka","Village: Howladerpur, District: Sylhet",Dhaka University,B.Com,3.26,6,601,Support Staff,1,On-Site,2020-07-06,Active,,,17035,,1995-12-30
20,User_20,Sonia Majumder,Female,B+,Married,19892116973468,352179420503,8801952919508,sonia.majumder26@gmail.com,sonia.majumder20@banglabazaar.com,"House 83, Road 28, Baridhara, Dhaka","Village: Majumderpur, District: Comilla",BUET,M.Com,3.3,5,502,Talent Acquisition Specialist,2,Hybrid,2021-11-28,Active,,,56601,373.0,1993-12-01
21,User_21,Jamal Pramanik,Male,O+,Divorced,19867987291473,876099478780,8801979741677,jamal.pramanik82@gmail.com,jamal.pramanik21@banglabazaar.com,"House 126, Road 18, Mirpur, Dhaka","Village: Pramanikpur, District: Dhaka",SUST,BBA,3.53,3,301,Production Assistant,1,On-Site,2023-11-16,Active,,,16702,,1999-03-18
22,User_22,Khadija Pal,Female,O+,Married,19882465696156,158289675179,8801564367962,khadija.pal65@gmail.com,khadija.pal22@banglabazaar.com,"House 98, Road 13, Mohammadpur, Dhaka","Village: Palpur, District: Chittagong",SUST,BBA,2.81,3,301,Production Assistant,1,On-Site,2020-05-04,Active,,,16109,,1997-12-26
23,User_23,Rahim Sheikh,Male,B-,Single,19842614129050,162828440870,8801684186332,rahim.sheikh44@gmail.com,rahim.sheikh23@banglabazaar.com,"House 12, Road 18, Malibagh, Dhaka","Village: Sheikhpur, District: Sylhet",BUET,BSS in Economics,2.63,4,401,Sales Associate,1,Hybrid,2021-05-06,Active,,,23977,,1998-07-05
24,User_24,Masud Mia,Male,A+,Married,19918181286108,829066085072,8801421666711,masud.mia26@gmail.com,masud.mia24@banglabazaar.com,"House 108, Road 28, Badda, Dhaka","Village: Miapur, District: Barisal",AIUB,MSc in CSE,2.76,3,301,Production Assistant,1,On-Site,2021-03-29,Active,,,15735,,1995-03-10
25,User_25,Nusrat Sheikh,Female,B+,Single,19871800073277,650468323942,8801418683797,nusrat.sheikh29@gmail.com,nusrat.sheikh25@banglabazaar.com,"House 87, Road 13, Rampura, Dhaka","Village: Sheikhpur, District: Dhaka",AIUB,M.Com,3.38,4,403,Key Account Manager,3,Hybrid,2019-09-24,Active,,,84539,1288.0,1989-04-11
26,User_26,Salma Ahmed,Female,A+,Single,19935922357474,692177766111,8801598114082,salma.ahmed11@gmail.com,salma.ahmed26@banglabazaar.com,"House 110, Road 7, Mohammadpur, Dhaka","Village: Ahmedpur, District: Sylhet",BUET,BSc in CSE,3.44,2,201,Warehouse Associate,1,Hybrid,2022-05-25,Active,,,22977,,1999-02-27
27,User_27,Sabbir Marma,Male,O-,Married,19973927558393,747007936071,8801467531148,sabbir.marma72@gmail.com,sabbir.marma27@banglabazaar.com,"House 61, Road 23, Banani, Dhaka","Village: Marmapur, District: Rajshahi",IUB,BSS in Economics,2.56,4,401,Sales Associate,1,Hybrid,2021-10-10,Active,,,22857,,1998-02-12
28,User_28,Fahad Sarkar,Male,B+,Married,19907745433292,929245079230,8801519692246,fahad.sarkar28@gmail.com,fahad.sarkar28@banglabazaar.com,"House 149, Road 11, Mohammadpur, Dhaka","Village: Sarkarpur, District: Jessore",BRAC University,B.Com,3.91,4,401,Sales Associate,1,Hybrid,2017-04-26,Active,,,23842,,1993-08-06
29,User_29,Fahad Marma,Male,O+,Married,19894815984059,724698169044,8801739980958,fahad.marma56@gmail.com,fahad.marma29@banglabazaar.com,"House 14, Road 26, Bashundhara, Dhaka","Village: Marmapur, District: Barisal",AIUB,MBA,2.53,4,401,Sales Associate,1,Hybrid,2021-04-16,Active,,,22457,,1996-02-24
30,User_30,Farzana Das,Female,O+,Married,19994500429951,939953122720,8801579178309,farzana.das73@gmail.com,farzana.das30@banglabazaar.com,"House 65, Road 29, Rampura, Dhaka","Village: Daspur, District: Bogra",IUB,MBA,2.7,4,402,Sales Executive,2,Hybrid,2022-07-01,Resigned,2023-05-25,Relocation,45398,296.0,1993-07-27
31,User_31,Nayeem Islam,Male,A-,Single,19849673560593,660735377848,8801558428316,nayeem.islam33@gmail.com,nayeem.islam31@banglabazaar.com,"House 112, Road 4, Baridhara, Dhaka","Village: Islampur, District: Chittagong",SUST,B.Sc in EEE,3.56,3,302,Machine Operator,1,On-Site,2022-02-23,Active,,,25586,,1997-06-05
32,User_32,Babar Sheikh,Male,B+,Married,19986728708722,448740418572,8801723930146,babar.sheikh46@gmail.com,babar.sheikh32@banglabazaar.com,"House 9, Road 23, Banani, Dhaka","Village: Sheikhpur, District: Rangpur",BUET,M.Com,3.99,2,201,Warehouse Associate,1,Hybrid,2020-03-19,Active,,,21166,,1996-02-14
33,User_33,Tawhid Chakma,Male,A+,Married,19914766014338,572243769235,8801437375483,tawhid.chakma14@gmail.com,tawhid.chakma33@banglabazaar.com,"House 55, Road 1, Banani, Dhaka","Village: Chakmapur, District: Tangail",East West University,M.Com,3.38,3,301,Production Assistant,1,On-Site,2015-03-16,Active,,,16041,,1991-12-27
34,User_34,Sadia Biswas,Female,O+,Single,19826133245742,714048678878,8801620865860,sadia.biswas42@gmail.com,sadia.biswas34@banglabazaar.com,"House 66, Road 17, Gulshan, Dhaka","Village: Biswaspur, District: Dhaka",AUST,BSS in Economics,3.08,6,602,Senior Technician,2,On-Site,2016-03-19,Resigned,2019-06-12,Better Salary,39315,170.0,1988-01-30
35,User_35,Hasibul Haque,Male,A-,Single,19874360600390,852113987427,8801989867677,hasibul.haque40@gmail.com,hasibul.haque35@banglabazaar.com,"House 145, Road 26, Mohammadpur, Dhaka","Village: Haquepur, District: Jessore",AIUB,MSc in CSE,3.77,6,602,Senior Technician,2,On-Site,2020-07-17,Active,,,39495,731.0,1990-07-17
36,User_36,Fatima Talukder,Female,B-,Married,19915694092138,517114042086,8801554198555,fatima.talukder95@gmail.com,fatima.talukder36@banglabazaar.com,"House 47, Road 18, Dhanmondi, Dhaka","Village: Talukderpur, District: Bogra",AUST,B.Com,3.42,1,101,IT Support Specialist,1,Hybrid,2020-02-13,Resigned,2020-12-26,Better Salary,31344,,1996-12-22
37,User_37,Farhan Sikder,Male,AB+,Married,19905193954151,769868182940,8801552931496,farhan.sikder58@gmail.com,farhan.sikder37@banglabazaar.com,"House 112, Road 18, Banani, Dhaka","Village: Sikderpur, District: Barisal",SUST,MBA,2.7,4,404,Regional Sales Manager,4,Hybrid,2017-05-15,Active,,,151745,,1978-08-30
38,User_38,Riad Mia,Male,B+,Married,19988465303326,748463332224,8801685676559,riad.mia31@gmail.com,riad.mia38@banglabazaar.com,"House 49, Road 20, Uttara, Dhaka","Village: Miapur, District: Barisal",BRAC University,MBA,3.14,6,601,Support Staff,1,On-Site,2020-01-04,Active,,,16315,,1994-06-28
39,User_39,Liton Khan,Male,O+,Single,19834611730302,495957619307,8801737829889,liton.khan80@gmail.com,liton.khan39@banglabazaar.com,"House 136, Road 28, Bashundhara, Dhaka","Village: Khanpur, District: Tangail",IUB,MSc in CSE,3.13,1,102,Software Engineer,2,Hybrid,2021-04-04,Resigned,2023-02-02,Work Pressure,65889,900.0,1992-08-30
40,User_40,Nannu Sheikh,Male,O+,Single,19834314612252,993693588721,8801379448303,nannu.sheikh32@gmail.com,nannu.sheikh40@banglabazaar.com,"House 138, Road 13, Banani, Dhaka","Village: Sheikhpur, District: Mymensingh",East West University,MSc in CSE,3.37,2,201,Warehouse Associate,1,Hybrid,2020-08-28,Active,,,20770,,1995-02-09
41,User_41,Nadia Gazi,Female,B+,Married,19856225207582,702636967713,8801922171530,nadia.gazi44@gmail.com,nadia.gazi41@banglabazaar.com,"House 80, Road 28, Badda, Dhaka","Village: Gazipur, District: Bogra",BUET,MBA,3.02,3,301,Production Assistant,1,On-Site,2020-04-18,Active,,,16297,,1994-07-24
42,User_42,Arif Barua,Male,O-,Single,19902884253056,775355748636,8801515665233,arif.barua17@gmail.com,arif.barua42@banglabazaar.com,"House 80, Road 19, Dhanmondi, Dhaka","Village: Baruapur, District: Mymensingh",IUB,B.Sc in EEE,3.94,3,301,Production Assistant,1,On-Site,2018-06-26,Resigned,2019-12-23,Higher Studies,16741,,1993-08-27
43,User_43,Nannu Ali,Male,A+,Single,19895857881678,570739593917,8801569390012,nannu.ali90@gmail.com,nannu.ali43@banglabazaar.com,"House 43, Road 11, Malibagh, Dhaka","Village: Alipur, District: Chittagong",BUET,MSc in CSE,3.12,1,101,IT Support Specialist,1,Hybrid,2021-08-19,Active,,,30267,,1995-01-18
44,User_44,Liton Chowdhury,Male,AB+,Married,19833396253532,195914414054,8801785164238,liton.chowdhury84@gmail.com,liton.chowdhury44@banglabazaar.com,"House 49, Road 8, Dhanmondi, Dhaka","Village: Chowdhurypur, District: Sylhet",Dhaka University,BSS in Economics,3.6,6,602,Senior Technician,2,On-Site,2021-01-20,Active,,,38889,220.0,1992-07-15
45,User_45,Ahmed Ahmed,Male,A+,Single,19891310297549,787196016064,8801525220268,ahmed.ahmed61@gmail.com,ahmed.ahmed45@banglabazaar.com,"House 137, Road 16, Banani, Dhaka","Village: Ahmedpur, District: Dhaka",BRAC University,BSc in CSE,3.47,4,401,Sales Associate,1,Hybrid,2021-07-30,Active,,,24449,,1999-01-05
46,User_46,Khadija Chakma,Female,B+,Divorced,19855729507896,793573426781,8801617541186,khadija.chakma51@gmail.com,khadija.chakma46@banglabazaar.com,"House 98, Road 23, Baridhara, Dhaka","Village: Chakmapur, District: Noakhali",Dhaka University,MSc in CSE,3.25,5,501,Admin Assistant,1,Hybrid,2018-08-14,Active,,,26589,,1993-09-11
47,User_47,Ahmed Uddin,Male,A+,Married,19963533397704,341387538854,8801786933339,ahmed.uddin30@gmail.com,ahmed.uddin47@banglabazaar.com,"House 144, Road 29, Mohammadpur, Dhaka","Village: Uddinpur, District: Rajshahi",BRAC University,MBA,3.43,4,401,Sales Associate,1,Hybrid,2019-04-02,Active,,,22865,,1993-02-09
48,User_48,Akram Akond,Male,A-,Single,19991880132242,115118015401,8801765430597,akram.akond65@gmail.com,akram.akond48@banglabazaar.com,"House 76, Road 22, Bashundhara, Dhaka","Village: Akondpur, District: Rajshahi",SUST,BBA,3.29,1,103,Senior Software Engineer,3,Hybrid,2017-02-01,Active,,,111804,968.0,1985-07-01
49,User_49,Mehidy Pal,Male,O-,Married,19996713920552,317821303050,8801921935256,mehidy.pal58@gmail.com,mehidy.pal49@banglabazaar.com,"House 49, Road 12, Mirpur, Dhaka","Village: Palpur, District: Noakhali",Dhaka University,B.Com,3.3,3,301,Production Assistant,1,On-Site,2021-09-15,Active,,,16156,,1999-08-07
50,User_50,Khadija Uddin,Female,A+,Single,20016762745772,976655382665,8801378398004,khadija.uddin55@gmail.com,khadija.uddin50@banglabazaar.com,"House 94, Road 23, Rampura, Dhaka","Village: Uddinpur, District: Sylhet",AUST,BSc in CSE,2.77,3,302,Machine Operator,1,On-Site,2019-03-09,Active,,,25910,,1997-02-23
51,User_51,Pilot Khan,Male,O+,Married,19895812833076,105396892357,8801457243711,pilot.khan64@gmail.com,pilot.khan51@banglabazaar.com,"House 85, Road 26, Badda, Dhaka","Village: Khanpur, District: Dhaka",AIUB,B.Sc in EEE,3.05,4,403,Key Account Manager,3,Hybrid,2021-04-05,Active,,,84998,501.0,1987-02-01
52,User_52,Rahim Islam,Male,A+,Married,19823858985549,462798759361,8801626813175,rahim.islam43@gmail.com,rahim.islam52@banglabazaar.com,"House 32, Road 14, Bashundhara, Dhaka","Village: Islampur, District: Jessore",AIUB,BBA,2.66,3,302,Machine Operator,1,On-Site,2018-09-26,Active,,,26146,,1995-11-05
53,User_53,Sadia Dewan,Female,B+,Single,20003920271445,373479723185,8801473930589,sadia.dewan92@gmail.com,sadia.dewan53@banglabazaar.com,"House 75, Road 12, Dhanmondi, Dhaka","Village: Dewanpur, District: Pabna",BRAC University,M.Com,3.53,1,102,Software Engineer,2,Hybrid,2020-01-02,Active,,,65901,812.0,1994-01-24
54,User_54,Shamima Bhuiyan,Female,O+,Single,19968429855283,805974254714,8801829661195,shamima.bhuiyan16@gmail.com,shamima.bhuiyan54@banglabazaar.com,"House 147, Road 9, Malibagh, Dhaka","Village: Bhuiyanpur, District: Faridpur",East West University,M.Com,3.58,3,302,Machine Operator,1,On-Site,2020-05-22,Active,,,28374,,1998-01-08
55,User_55,Sakib Chakma,Male,O-,Married,19963176410877,151088484298,8801771972577,sakib.chakma80@gmail.com,sakib.chakma55@banglabazaar.com,"House 132, Road 9, Uttara, Dhaka","Village: Chakmapur, District: Dhaka",BUET,M.Com,3.45,4,402,Sales Executive,2,Hybrid,2021-05-03,Active,,,45861,261.0,1994-02-13
56,User_56,Sanjida Khan,Female,O+,Single,19923272730012,191368881211,8801339344089,sanjida.khan84@gmail.com,sanjida.khan56@banglabazaar.com,"House 60, Road 3, Dhanmondi, Dhaka","Village: Khanpur, District: Rangpur",SUST,BSc in CSE,2.67,3,301,Production Assistant,1,On-Site,2021-11-19,Active,,,15305,,1997-02-04
57,User_57,Nadia Talukder,Female,A+,Married,19936142360321,105657834681,8801425939170,nadia.talukder54@gmail.com,nadia.talukder57@banglabazaar.com,"House 65, Road 21, Baridhara, Dhaka","Village: Talukderpur, District: Noakhali",SUST,BSc in CSE,2.56,6,601,Support Staff,1,On-Site,2023-02-22,Active,,,16658,,1998-06-07
58,User_58,Tamim Marma,Male,A+,Married,19919255778697,178116080640,8801497985387,tamim.marma11@gmail.com,tamim.marma58@banglabazaar.com,"House 64, Road 27, Dhanmondi, Dhaka","Village: Marmapur, District: Rangpur",BRAC University,B.Sc in EEE,3.97,3,301,Production Assistant,1,On-Site,2018-11-18,Active,,,15720,,1995-04-03
59,User_59,Tanvir Dewan,Male,A+,Single,20013613081241,933615755527,8801512623900,tanvir.dewan93@gmail.com,tanvir.dewan59@banglabazaar.com,"House 6, Road 21, Mirpur, Dhaka","Village: Dewanpur, District: Chittagong",IUB,M.Com,3.04,4,401,Sales Associate,1,Hybrid,2023-04-19,Active,,,24738,,2000-03-10
60,User_60,Soumya Roy,Male,A+,Single,20001503510433,236072343630,8801997951307,soumya.roy80@gmail.com,soumya.roy60@banglabazaar.com,"House 46, Road 19, Gulshan, Dhaka","Village: Roypur, District: Mymensingh",East West University,BSS in Economics,2.61,3,301,Production Assistant,1,On-Site,2023-11-20,Active,,,15587,,1999-05-04
61,User_61,Fahima Akond,Female,A+,Married,19987088077825,111878883038,8801499733399,fahima.akond37@gmail.com,fahima.akond61@banglabazaar.com,"House 56, Road 3, Badda, Dhaka","Village: Akondpur, District: Barisal",IUB,BSS in Economics,3.51,3,301,Production Assistant,1,On-Site,2017-02-26,Resigned,2019-07-29,Better Salary,15997,,1994-01-26
62,User_62,Sakib Howlader,Male,B+,Married,19945193090495,364542081228,8801587375791,sakib.howlader65@gmail.com,sakib.howlader62@banglabazaar.com,"House 91, Road 18, Dhanmondi, Dhaka","Village: Howladerpur, District: Faridpur",IUB,BSc in CSE,3.41,4,401,Sales Associate,1,Hybrid,2015-05-10,Active,,,25157,,1991-03-10
63,User_63,Rumana Rahman,Female,A-,Married,19836531984634,226595894620,8801912084944,rumana.rahman84@gmail.com,rumana.rahman63@banglabazaar.com,"House 25, Road 8, Badda, Dhaka","Village: Rahmanpur, District: Pabna",IUB,BSc in CSE,3.79,6,601,Support Staff,1,On-Site,2019-08-16,Resigned,2022-04-24,Higher Studies,17706,,1997-05-10
64,User_64,Rahim Bepari,Male,O-,Married,19961592707905,633328890514,8801648146792,rahim.bepari77@gmail.com,rahim.bepari64@banglabazaar.com,"House 27, Road 25, Rampura, Dhaka","Village: Beparipur, District: Bogra",SUST,BSc in CSE,3.31,3,301,Production Assistant,1,On-Site,2017-09-27,Active,,,15865,,1994-08-25
65,User_65,Tamim Akond,Male,O+,Married,19909357449787,264907114853,8801377519083,tamim.akond32@gmail.com,tamim.akond65@banglabazaar.com,"House 26, Road 8, Banani, Dhaka","Village: Akondpur, District: Chittagong",North South University,MSc in CSE,3.86,1,101,IT Support Specialist,1,Hybrid,2022-03-16,Active,,,30931,,1997-08-02
66,User_66,Taskin Molla,Male,O+,Married,19861417878670,736663062391,8801960134241,taskin.molla14@gmail.com,taskin.molla66@banglabazaar.com,"House 146, Road 14, Rampura, Dhaka","Village: Mollapur, District: Chittagong",IUB,MBA,3.74,6,603,Head of Facilities,5,On-Site,2021-12-25,Active,,,141303,220.0,1974-08-18
67,User_67,Nigar Biswas,Female,A+,Single,19853708178750,464536231610,8801721543306,nigar.biswas62@gmail.com,nigar.biswas67@banglabazaar.com,"House 119, Road 24, Uttara, Dhaka","Village: Biswaspur, District: Rangpur",BUET,BSS in Economics,2.9,3,302,Machine Operator,1,On-Site,2021-08-30,Active,,,25446,,1999-08-27
68,User_68,Hasibul Sikder,Male,A+,Single,19902324224493,727945596258,8801554859819,hasibul.sikder97@gmail.com,hasibul.sikder68@banglabazaar.com,"House 92, Road 24, Banani, Dhaka","Village: Sikderpur, District: Khulna",BUET,BBA,2.76,3,302,Machine Operator,1,On-Site,2018-07-08,Active,,,26235,,1994-10-28
69,User_69,Imran Khan,Male,B+,Divorced,19959152396393,239711487559,8801985907169,imran.khan84@gmail.com,imran.khan69@banglabazaar.com,"House 90, Road 18, Dhanmondi, Dhaka","Village: Khanpur, District: Chittagong",Rajshahi University,B.Sc in EEE,3.55,4,401,Sales Associate,1,Hybrid,2020-06-02,Active,,,23229,,1996-06-10
70,User_70,Soumya Roy,Male,A+,Single,19869686757828,992531247629,8801732269882,soumya.roy31@gmail.com,soumya.roy70@banglabazaar.com,"House 2, Road 10, Gulshan, Dhaka","Village: Roypur, District: Chittagong",Dhaka University,BSS in Economics,3.97,4,403,Key Account Manager,3,Hybrid,2021-10-01,Active,,,80228,37.0,1989-03-09
71,User_71,Zahid Khandaker,Male,O+,Divorced,19892391160230,848804080251,8801777286125,zahid.khandaker23@gmail.com,zahid.khandaker71@banglabazaar.com,"House 100, Road 15, Bashundhara, Dhaka","Village: Khandakerpur, District: Mymensingh",IUB,BSc in CSE,2.85,6,602,Senior Technician,2,On-Site,2023-03-22,Active,,,37986,75.0,1997-02-09
72,User_72,Sumon Sarkar,Male,O+,Married,20003095326875,822177754240,8801923583426,sumon.sarkar14@gmail.com,sumon.sarkar72@banglabazaar.com,"House 143, Road 12, Rampura, Dhaka","Village: Sarkarpur, District: Rajshahi",AUST,BSS in Economics,3.79,4,401,Sales Associate,1,Hybrid,2023-12-01,Active,,,24457,,2001-06-06
73,User_73,Tawhid Patwary,Male,A+,Married,19969672994170,571905130245,8801862174249,tawhid.patwary69@gmail.com,tawhid.patwary73@banglabazaar.com,"House 40, Road 29, Mohammadpur, Dhaka","Village: Patwarypur, District: Pabna",BRAC University,M.Com,3.97,1,101,IT Support Specialist,1,Hybrid,2023-11-24,Active,,,33414,,1998-12-08
74,User_74,Fahad Chowdhury,Male,B+,Married,19899553421524,116450774901,8801595657034,fahad.chowdhury90@gmail.com,fahad.chowdhury74@banglabazaar.com,"House 130, Road 24, Baridhara, Dhaka","Village: Chowdhurypur, District: Bogra",AUST,MSc in CSE,3.49,5,501,Admin Assistant,1,Hybrid,2021-02-15,Resigned,2022-11-18,Better Salary,25988,,1994-06-21
75,User_75,Nahida Bepari,Female,B+,Divorced,19846879751902,204000080047,8801794415071,nahida.bepari93@gmail.com,nahida.bepari75@banglabazaar.com,"House 129, Road 1, Mirpur, Dhaka","Village: Beparipur, District: Barisal",East West University,BBA,3.61,6,603,Head of Facilities,5,On-Site,2022-10-09,Active,,,158306,323.0,1978-07-06
76,User_76,Rubel Patwary,Male,A+,Single,19989289440693,790003486120,8801473652246,rubel.patwary29@gmail.com,rubel.patwary76@banglabazaar.com,"House 143, Road 10, Baridhara, Dhaka","Village: Patwarypur, District: Rangpur",BUET,MBA,2.51,2,202,Procurement Officer,2,Hybrid,2021-08-12,Active,,,50568,1056.0,1991-01-04
77,User_77,Tawhid Gazi,Male,B-,Single,19804988446422,235646809373,8801967034382,tawhid.gazi73@gmail.com,tawhid.gazi77@banglabazaar.com,"House 16, Road 20, Rampura, Dhaka","Village: Gazipur, District: Barisal",North South University,M.Com,3.08,3,301,Production Assistant,1,On-Site,2020-11-27,Active,,,16977,,1998-04-12
78,User_78,Soumya Marma,Male,A+,Married,19933503662768,526071043605,8801469258168,soumya.marma11@gmail.com,soumya.marma78@banglabazaar.com,"House 3, Road 27, Rampura, Dhaka","Village: Marmapur, District: Jessore",Rajshahi University,BSS in Economics,3.85,1,101,IT Support Specialist,1,Hybrid,2021-08-20,Active,,,31895,,1999-04-01
79,User_79,Luna Gazi,Female,A+,Single,20002011128062,548784934536,8801619701998,luna.gazi13@gmail.com,luna.gazi79@banglabazaar.com,"House 124, Road 3, Rampura, Dhaka","Village: Gazipur, District: Mymensingh",BRAC University,MBA,3.31,2,202,Procurement Officer,2,Hybrid,2020-02-29,Active,,,49098,967.0,1991-02-01
